doc,completion_M,completion_M_A,completion_M_D,completion_M_19
1882_Aimard-Gustave_Les-bandits-de-l-Arizona.txt_chunk_81,"""rette","""res : hommes qui avaient une allure menaçante","""<s><s> [/INST] elle ne poursuit pas","""eux. « Que deviennent-ils ? — Ah pauvre don josé ! et quelle terrible et étrange vengeance a cette fois l’officiant de la justice militaire. — qui peut l’officiant de la justice militaire ? le général. — Ah pauvre don josé ! — qui est-ce ? — c’est sans-traces. — que veut-il ? — il veut se""""]"""
1895_Lermina-Jules_L-enigme.txt_chunk_11,"""relais avait mis le sang des bons marins sur son nom","""<s> [/INST] le général ne pouvait être qu’un étranger",""" [/INST] un certain nombre d’exactions dont les objets avaient été divers : l’incendie","""<s> [/INST] à sa femme"
1876_Boisgobey-Fortune-du_L-Omnibus-du-diable.txt_chunk_120,"""\n\nLe roman se déroule dans le quartier du Temple de Paris","""<s> [/INST] La scène se déroule au quartier du temple de Paris. Marcel de Colorado est arrêté en compagnie de Dominique","""<s> [/INST] il est attaqué par des bandits.  Des événements éclatants se déroulent au milieu du quartier du Temple : un cambiot est tiré de sa cabine","""le"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_169,"""rée","""fas: un capitaine et un noble marquée d’une lettre roque une alliance","""<s><s> [/INST] i. Le texte décrit en détail un château abandonné en Gascogne sous le règne de Louis XIII","""lois est [/INST] venu me prendre à ma table pour lancer ma carabine.  — Que dis-je ?... le caravane serait le carrel de quelque baladin ?... Il faut remettre l’honneur sur sa place.  — Vous avez raison... Il n’y a que des voleurs là... mais une troupe célèbre"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_351,"""\n\nLa scène présente des choses de l'ancien château abandonné et le jeune baron solitaire est attiré par les personnes ambulantes. Le fragment décrit l'ambiance loufoque et extravagante entourant la troupe de comédiens","""riel",""" [/INST] Voici l'introduction d'un livre.  Continuez le texte en suivant sa structure et son style.  Le baron","""Et un baron qui"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_66,"""ries","""<s> [/INST] ",""" [/INST] Un livre se télécharge à Paris.  L'éditeur est mort.  Ce sont les deux premiers ouvrages de Lupin. Résumés\xa0:  Lupin","""<s> [/INST] Lorsque le lieutenant d’Amrigny se promène seul au jardin de la villa Montébello"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_145,"""res from a missing shipwreck on Vanikoro Island and the Captain Nemo refuses them a way back to civilization. The characters embark on an underwater journey in the Nautilus","""<s> [/INST] Après avoir voyagé sous la mer d'Oman sans découvrir le golfe Persique et pas même la mer rouge","""<s> [/INST] Le capitaine Nemo explique à un scientifique émerveillé les capacités du Nautilus et son origine reste inconnue. Après le naufrage des navires de La Pérouse","""<s> [/INST] Des scientifiques se disputent sur la présence d'un monstre marin géant"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_135,"""ri roman français décrit un château abandonné","""<s> [INST] CI-DES COMMENTAIRIES N'ONT RIEN DE RIMANT","""<s> [/INST] ce texte décrit trois amours. De l'une part","""<s> [/INST] Le texte décrit la vie d'un château délabré en Gascogne sous le règne de Louis XIII. Des éléments architecturaux et naturels témoignent de son âge"
1870_Verne-Jules_Vingt-mille-lieues-sous-les-mers.txt_chunk_131,"""rédacteur en chef de votre société","""<s> [INST] AIENT CES VIRAGES BEAUCHES ? AIENT CES LIGNES BEAUCHES ? LE VIEUX CAPITAINE VIDERA SON MASSAIRE","""<s> [/INST] Les informations obtenues sur un mystérieux narval vont entretenir la controverse internationale et laisser l’esprit libre comme sur une vague immense. Avec l’agacement de son équipage",""" [/INST] [/INST] Le voyage submergé de Nemo s'est fait sur l'île de Ceylan"
1857_Aimard-Gustave_Les-trappeurs-de-l-Arkansas.txt_chunk_160,"""rielàquelle\n\nCependant","""<s> [/INST] La région de la Sonora vit son passé colonial se transformer en conflits de pouvoir","""<s> [/INST] 2. La scène est située au centre des États-Unis","""<s><s><s><s><s><s><s><s> [/INST] un extrait qui décrit le contexte historique et social de la région de la Sonora en Amérique du Sud. Affichage de la conflagration que le village a brûlé pendant la nuit. Chaque matin"
1863_Gautier-Theophile_Le-capitaine-Fracasse.txt_chunk_125,"""riel une histoire de château abandonné en Gascogne durant le règne de Louis XIII","""<s> [/INST] le temps où j’avais du talent",""" [/INST] Un jeune baron solitaire","""riel dans le château délabré d'un baron solitaire"
1887_Pont-Jest-Rene-de_Le-Cas-du-Docteur-Plemen.txt_chunk_84,"""rette de deux rivaux","""ra une lettre de malice rédigée pour le docteur Plemen ","""<s> [INST] 5. Vous enverrez une lettre à m. Kesselbach. 6. Après ce souvenir que vous aurez établi","""riel s’écria : mon Dieu"
1866_Gaboriau-Emile_L-affaire-Lerouge.txt_chunk_210,"""rières et le lit de la Seine","""<s> [/INST] Le roman ne semble pas s'intéresser de cette vie de familles","""<s> [INST] Que pensez-vous des préférés de vos lecteurs ?\n [/INST] Je ne peux pas dire tout ce que je pense",""" 500 m. La Jonchère"
